,Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Деятельность_2
0,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВАГРАН""",7707113058,СВЕРДЛОВСКАЯ ОБЛАСТЬ,46.11,46,"Деятельность агентов по оптовой торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами"
1,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТЕХСЕРВИС""",2338012377,РОСТОВСКАЯ ОБЛАСТЬ,46.14.9,46,Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием
2,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТАУРОВСКИЙ УЧАСТОК""",7719473305,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
3,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОКОМПЛЕКС ""КАМЫШЕВАТСКИЙ""",2361010508,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,Выращивание зерновых культур
4,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕДИНЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",7842416531,Г.Санкт-Петербург,86.21,86,Общая врачебная практика
5,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТИМАНСКИЙ-1""",7714415081,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
6,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 22""",9718075986,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
7,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МИЛЛЕНИАЛ""",7725823822,Г.МОСКВА,06.10,06,Добыча сырой нефти и нефтяного (попутного) газа
8,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,ФГУП ИГИ,7725008497,Г.Москва,72.19,72,Научные исследования и разработки в области естественных и технических наук прочие
9,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КАЗИНО ФЛАМИНГО""",3664013475,ВОРОНЕЖСКАЯ ОБЛАСТЬ,68.20.2,68,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
