Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Раздел_1,Деятельность_раздел_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Раздел_2,Деятельность_раздел_2,Деятельность_2
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВАГРАН""",7707113058,СВЕРДЛОВСКАЯ ОБЛАСТЬ,46.11,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Деятельность агентов по оптовой торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТЕХСЕРВИС""",2338012377,РОСТОВСКАЯ ОБЛАСТЬ,46.14.9,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТАУРОВСКИЙ УЧАСТОК""",7719473305,Г.МОСКВА,06.10.1,06,B,Добыча полезных ископаемых,Добыча сырой нефти
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОКОМПЛЕКС ""КАМЫШЕВАТСКИЙ""",2361010508,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание зерновых культур
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕДИНЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",7842416531,Г.Санкт-Петербург,86.21,86,Q,Деятельность в области здравоохранения и социальных услуг,Общая врачебная практика
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТИМАНСКИЙ-1""",7714415081,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 22""",9718075986,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МИЛЛЕНИАЛ""",7725823822,Г.МОСКВА,06.10,06,B,Добыча полезных ископаемых,Добыча сырой нефти и нефтяного (попутного) газа
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,ФГУП ИГИ,7725008497,Г.Москва,72.19,72,M,"Деятельность профессиональная, научная и техническая",Научные исследования и разработки в области естественных и технических наук прочие
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КАЗИНО ФЛАМИНГО""",3664013475,ВОРОНЕЖСКАЯ ОБЛАСТЬ,68.20.2,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕРБОГАЧЕНСКИЙ""",9718075601,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЛАБИНСКИЙ ЭЛЕВАТОР""",2314025200,КРАСНОДАРСКИЙ КРАЙ,52.10.3,52,H,Транспортировка и хранение,Хранение и складирование зерна
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ПАКО""",7818002353,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,71.12,71,M,"Деятельность профессиональная, научная и техническая","Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях"
