,Название,ИНН,Адрес,ОКВЭД,Деятельность
0,РОСИМУЩЕСТВО,7710723134,,,
1,"ООО ""АГРОКОМПЛЕКС ЛАБИНСКИЙ""",2314017030,,,
2,"ГОСКОРПОРАЦИЯ ""РОСАТОМ""",7706413348,,,
3,"ПАО ""ГАЗПРОМ НЕФТЬ""",5504036333,,,
4,"ПАО ""ЛУКОЙЛ""",7708004767,,,
5,"ОАО ""УРАЛЬСКАЯ ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ"", ОАО ""УГМК""",6606013640,,,
6,"ПАО ""ГАЗПРОМ""",7736050003,,,
7,"АО ""ТРАНСМАШХОЛДИНГ""",7723199790,,,
8,"ООО ""ГОРОДСКИЕ ТЕХНОЛОГИИ""",3123411084,,,
9,"АО ""РТИ МИКРОЭЛЕКТРОНИКА""",7735596569,,,
10,"ООО ГК ""НАРОДНЫЕ ХУДОЖЕСТВЕННЫЕ ПРОМЫСЛЫ""",7708364209,,,
11,"ООО ""ЦИФРОВАЯ ИНДУСТРИАЛЬНАЯ ПЛАТФОРМА""",7813646509,,,
12,"ООО ""СБЕРБАНК ИНВЕСТИЦИИ""",5032229441,,,
13,"ООО ""СТАР МЕДИА ДИСТРИБЬЮШН""",7723633907,,,
14,"ООО ""ЛТС-СЕРВИС""",9709002445,,,
15,"ООО ""ХОЛДИНГ АКВА""",2626047111,,,
16,"АО ""ОМЕГА ТРЕЙД""",7709912874,,,
17,"АО ""АТОМЭНЕРГОПРОМ""",7706664260,,,
18,"ООО ""РАДАМАНТ""",7728864400,,,
19,"ДП ООО ""ТОРГОВЫЙ ДОМ"" ЗАО МЯСОПТИЦЕКОМБИНАТА ""КАНЕВСКОЙ""",2334016885,,,
20,"ПАО ""РОСТЕЛЕКОМ""",7707049388,,,
21,"ООО ""ЕДИНЫЙФАКТОР""",7729660992,,,
22,"АО РАОС, АО ""РУСАТОМ ОВЕРСИЗ""",7725413350,,,
23,"ООО ""ГАЗ - ОЙЛ ТРЕЙДИНГ""",7709773211,,,
24,"ООО ""КОММИТ КЭПИТАЛ""",7702527457,,,
25,"ООО ""СТАР МЕДИА ВИЖН""",9704007016,,,
26,"ООО""АФИПСКИЙ НПЗ""",7704214548,,,
27,"ООО ""ЛУКОЙЛ-ТЕХНОЛОГИИ""",9709038314,,,
28,"ООО ""МЕДТЕХ ИИ""",9713011675,,,
29,"АО ""КМКР""",2626003072,,,
30,"ООО ""ГАЗПРОМ ГНП ХОЛДИНГ""",3906229324,,,
31,"АО ""УРАЛЭЛЕКТРОМЕДЬ""",6606003385,,,
32,"ООО ""УЛЬТРА ФЕРТ УРАЛ""",6684039685,,,
33,"АО ""УК ""БМЗ""",3232035432,,,
34,"ООО ""ВОЗДВИЖЕНСКОЕ""",9704136526,,,
35,"АО ""НМГ""",7704676655,,,
36,"ООО ""НРА""",7731320369,,,
37,"""ОПОРА РОССИИ""",7704247293,,,
38,"АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ (АСИ), АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ, АСИ",7704278735,,,
39,"ООО ""КОМПАНИЯ ТРАССА""",5029080456,,,
40,"АНО ""ЦИФРОВАЯ ЭКОНОМИКА""",7731384732,,,
41,"ООО ""ЦИФРА""",7704245507,,,
42,ФГАОУ ВО ПЕРВЫЙ МГМУ ИМ.И.М. СЕЧЕНОВА МИНЗДРАВА РОССИИ (СЕЧЕНОВСКИЙ УНИВЕРСИТЕТ),7704047505,,,
43,"ООО ""ОТКРЫТАЯ МОБИЛЬНАЯ ПЛАТФОРМА""",1615012605,,,
44,"РОССИЙСКОЕ ОБЩЕСТВО УРОЛОГОВ, РОУ",7704142244,,,
45,"ООО ""ЯНДЕКС""",7736207543,,,
46,"НП ""МАП""",7709443291,,,
47,"АССОЦИАЦИЯ ""УТСР""",7714429479,,,
48,БАНК ГПБ (АО),7744001497,,,
49,"ООО ""ГАЗПРОМ УПРАВЛЕНИЕ АКТИВАМИ КСН""",7813655951,,,
50,"ООО ""КОРПОРАТИВНЫЙ ЦЕНТР ИКС 5""",7728632689,,,
51,"АО ""ГАЗПРОМ-МЕДИА ХОЛДИНГ""",7728668727,,,
52,"ПАО ""НОВАТЭК""",6316031581,,,
53,"ООО ""АР СИ БРЮ""",5406601315,,,
54,"ООО ""ГАЗПРОМ ИНВЕСТ РГК""",7751001106,,,
55,"ООО ""СТАТУС""",7728520086,,,
56,БАНК ВТБ (ПАО),7702070139,,,
57,"ООО ""МЕГАКОМ""",5003106773,,,
58,"АО ""ГАЗСТРОЙПРОМ""",7842155505,,,
59,"ООО ""ЦЕНТРГАЗЭНЕРГОРЕМОНТ""",5050048663,,,
60,"АО ""РОСХИМ""",7716953328,,,
61,"ООО ""АУРА-МЕДИА""",7730517394,,,
62,"ООО""ГАЗПРОМ ЦЕНТРРЕМОНТ""",5050073540,,,
63,"ООО ""ГСП-ИНВЕСТИЦИИ""",7810797852,,,
64,"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ""",5003021311,,,
65,"ООО ""ОПЕРАТОР ГАЗПРОМ ИД""",7743228142,,,
66,"ООО ""ГАЗПРОМ КАПИТАЛ""",7726588547,,,
67,"ООО ""ГПМ ПРОЕКТЫ""",7701736754,,,
68,"ООО ""ЭТП ГПБ КОНСАЛТИНГ""",7728356929,,,
69,"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,,,
70,"ООО ""ГРУППА АГРОКОМ""",6163070862,,,
71,"ООО ""НОВАПОРТ ХОЛДИНГ""",7704857789,,,
72,ФОНД ИНФРАСТРУКТУРНЫХ И ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ,7728116275,,,
73,"ООО ""ВЕЛЕС ТРАСТ""",7703603950,,,
74,"ПАО ""МОСЭНЕРГО""",7705035012,,,
75,ПАО РОСБАНК,7730060164,,,
76,"АО УК ""АЭРОПОРТЫ РЕГИОНОВ""",7705986635,,,
77,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ""РОСТЕХ""",7704274402,,,
78,"ООО ""ОНИКС""",7728522943,,,
79,"ООО ""ЗАПОЛЯРЬЕНЕФТЕГАЗ""",2457089844,,,
80,"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""",8401005730,,,
81,"АО ""ИНТЕР РАО КАПИТАЛ""",7701296415,,,
82,"ФОНД ""СОЗИДАНИЕ""",1326178496,,,
83,"ООО ""ВЛРП""",3818013862,,,
84,"АО ""КРП""",2461007121,,,
85,"ООО ""ПОЛЯРНЫЙ ЛИТИЙ""",9709083109,,,
86,"ООО""ТРЭВЭЛС""",7826056320,,,
87,"АО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ ""САРАНСК""",1328905789,,,
88,"ООО ""СДК ""ГАРАНТ""",7714184726,,,
89,"ООО ""ЛУКОЙЛ-ПЕРМЬ""",5902201970,,,
90,"ПАО ""ИНТЕР РАО""",2320109650,,,
91,"АО ""ГАЗПРОМНЕФТЬ-АЭРО""",7714117720,,,
92,МИНИСТЕРСТВО ПО УПРАВЛЕНИЮ ГОСУДАРСТВЕННЫМ ИМУЩЕСТВОМ СВЕРДЛОВСКОЙ ОБЛАСТИ,6658091960,,,
93,"ООО ""НЦ ТЕХНОСПАРК""",5046075713,,,
94,"ООО ""ТОЛИНГ""",7728780824,,,
95,"ООО ""ЖУРАВСКОЕ ХОЛДИНГ""",7728200248,,,
96,"ПАО ""РУСГИДРО""",2460066195,,,
97,"ООО ""ДНС ГРУПП""",2543083050,,,
98,"ПАО ""РОССЕТИ""",4716016979,,,
99,МИНПРОМТОРГ РОССИИ,7705596339,,,
100,"ООО ""ЛВНГ""",2983013832,,,
101,"АО ""КОНЦЕРН ""КАЛАШНИКОВ""",1832090230,,,
102,"АО ""НОВАПОРТ-ГСМ""",7707530340,,,
103,МИНИМУЩЕСТВО РОСТОВСКОЙ ОБЛАСТИ,6163021632,,,
104,"ООО ""НЕВА-6""",7804024036,,,
105,"ООО ""ЛУКОЙЛ-АЭРО""",7702354081,,,
106,"ООО ""АЭРОПОРТ ТОМСК""",7014044882,,,
107,"АО ""БСКБ ""ВОСТОК""",2221181133,,,
108,"АО ""КОНЦЕРН ""СОЗВЕЗДИЕ""",3666127502,,,
109,"ООО ""ВНГ""",8904094487,,,
110,"ООО ""ТЗК ""ПЛАНЕТА""",3664067801,,,
111,"ООО ПКФ ""АТЛАНТИС-ПАК""",6163026503,,,
112,"ООО ""ИНТЕР ФОРЕСТ РУС""",9703043283,,,
113,"ПАО ""СЕГЕЖА ГРУПП""",9703024202,,,
114,"ООО ""ТАВР-ИМУЩЕСТВЕННЫЙ КОМПЛЕКС""",6165181945,,,
115,"ООО ""ИНТЕРГЕОПРОЕКТ""",7710405766,,,
116,"ООО ""АПИК""",6102063473,,,
117,"ПАО ""ТРАНСНЕФТЬ""",7706061801,,,
118,"ООО ""СТРОЙ-ПРОФИТ""",7728281208,,,
