,Название,ИНН,Адрес,ОКВЭД,Деятельность
0,"АССОЦИАЦИЯ ""ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ""",7709472937,Г.МОСКВА,58,Деятельность издательская
1,"ООО ""ЛТЛЗ""",7709460949,Г.Москва,24.51,Литье чугуна
2,СОЮЗ НЕЗАВИСИМЫХ СЕТЕЙ,7709440004,Г.МОСКВА,73.20.2,Деятельность по изучению общественного мнения
3,"ООО ""ОНТАРО""",7709427606,Московская область,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
4,"ООО ""ЭЛ.АЙ.СИ""",7709126574,Г.Москва,69.20.1,Деятельность по проведению финансового аудита
5,"ООО ""АПК ""МИХАЙЛОВСКИЙ""",7718548798,Г.Москва,64.20,Деятельность холдинговых компаний
6,"ООО ""ТД ЧЕРКИЗОВО""",5032046575,Московская область,46.32.1,"Торговля оптовая мясом и мясом птицы, включая субпродукты"
7,"АО ""РЖД УПРАВЛЕНИЕ АКТИВАМИ""",7708182801,Г.МОСКВА,64.20,Деятельность холдинговых компаний
8,"ООО ""СОЛАР-ПТ""",9705144745,Г.МОСКВА,62.02,Деятельность консультативная и работы в области компьютерных технологий
9,"ООО ""СОЛАР СЕКЬЮРИТИ""",7718099790,Г.Москва,62.01,Разработка компьютерного программного обеспечения
10,"АО ""ГАЗПРОМНЕФТЬ-ННГ""",8905000428,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.10.1,Добыча сырой нефти
11,"АО ""СБЕРБАНК ЛИЗИНГ""",7707009586,МОСКОВСКАЯ ОБЛАСТЬ,64.91,Деятельность по финансовой аренде (лизингу/сублизингу)
12,"ООО ""ГАРАНТ СЕРВИС""",8905065312,Г.САНКТ-ПЕТЕРБУРГ,09.10,Предоставление услуг в области добычи нефти и природного газа
13,"ПАО ""ГАЗПРОМ НЕФТЬ""",5504036333,Г.САНКТ-ПЕТЕРБУРГ,46.71,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами"
14,"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""",8608048498,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,06.10.1,Добыча сырой нефти
15,"ЗПИФ долгосрочных прямых инвестиций """"Форсайт плюс""",7707525541,Г.Москва,64.99.1,Вложения в ценные бумаги
16,"АО ""НПФ ""БЛАГОСОСТОЯНИЕ""",7707424367,Г.МОСКВА,65.30,Деятельность негосударственных пенсионных фондов
17,АССОЦИАЦИЯ БОЛЬШИХ ДАННЫХ,7707421454,Г.МОСКВА,94.12,Деятельность профессиональных членских организаций
18,"ООО ""НОВО-ТРУДОВОЙ""",7707394458,Г.МОСКВА,06.10.1,Добыча сырой нефти
19,"ООО ""ХОРТИЦА""",7801413595,Г.МОСКВА,06.10.1,Добыча сырой нефти
20,"ООО ""ИТМО ВЕНЧУР ПАРТНЕРС""",7801203750,Г.САНКТ-ПЕТЕРБУРГ,72.19,Научные исследования и разработки в области естественных и технических наук прочие
21,"ФГУП ""НИИФООЛИОС ВНЦ ""ГОИ ИМ. С.И. ВАВИЛОВА""",7801031476,САНКТ-ПЕТЕРБУРГ ГОРОД,72.19,Научные исследования и разработки в области естественных и технических наук прочие
22,"ООО ""ЛИТЭКО""",7751218998,Г.МОСКВА,72.19,Научные исследования и разработки в области естественных и технических наук прочие
23,"АО ""АКВАЛАЙФ РЕСУРС""",7751010710,Г.Москва,69.10,Деятельность в области права
24,"ООО ""АЛЬБИОН-2002""",5257056036,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,47.25.1,"Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах"
25,"ТОСП ""Ч001 Москва Долгопрудная"" ООО ""СЛАДКАЯ ЖИЗНЬ Н.Н.""",5257041777,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,47.2,"Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах"
26,"АО ""АТОМ-ТОР""",5254491182,Г.Москва,70.10.2,Деятельность по управлению холдинг-компаниями
27,"ООО ""БИАКСПЛЕН""",5244013331,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,22.21,"Производство пластмассовых плит, полос, труб и профилей"
28,"АО ""АЭРОПОРТ МУРМАНСК""",5105040715,МУРМАНСКАЯ ОБЛАСТЬ,52.23.11,Деятельность аэропортовая
29,"ООО ""ЗАПОЛЯРЬЕНЕФТЕГАЗ""",2457089844,КРАСНОЯРСКИЙ КРАЙ,06.20,Добыча природного газа и газового конденсата
30,"АО ""КОРПОРАЦИЯ РАЗВИТИЯ""",6671199917,Свердловская область,70.10.2,Деятельность по управлению холдинг-компаниями
31,"ООО ""ГАЗПРОМ ЭНЕРГО""",7736186950,Г.МОСКВА,35.12.1,Передача электроэнергии
32,"ООО""ГАЗПРОМ ЦЕНТРРЕМОНТ""",5050073540,МОСКОВСКАЯ ОБЛАСТЬ,70.10.1,Деятельность по управлению финансово-промышленными группами
33,"ООО ""ЗОЛОТОВСКОЕ""",6132007148,Ростовская область,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
34,"ООО ""УТИНЫЙ ОСТРОВ""",6128003983,РОСТОВСКАЯ ОБЛАСТЬ,93.19,Деятельность в области спорта прочая
35,"ООО ""АГРОКОМПЛЕКС РОСТОВСКИЙ""",6123016298,РОСТОВСКАЯ ОБЛАСТЬ,01.11.1,Выращивание зерновых культур
36,"ООО ""АПК ""21 ВЕК""",6101034399,Ростовская область,01.1,Выращивание однолетних культур
37,"ОАО ""СМЗ""",5919470019,Пермский край,20.13,Производство прочих основных неорганических химических веществ
38,"АО ""ЦЕНТРИНФОРМ""",7841051711,Г.САНКТ-ПЕТЕРБУРГ,62.03.13,Деятельность по сопровождению компьютерных систем
39,"АО ""СПБМТСБ""",7840389730,Г.САНКТ-ПЕТЕРБУРГ,66.11.2,"Управление и контроль за деятельностью фондовых, товарных, валютных и валютнофондовых бирж"
40,"ООО ""РОСТЕЛЕКОМ - РОЗНИЧНЫЕ СИСТЕМЫ""",7840306212,Г.МОСКВА,63.11,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность"
41,"ООО ""ИЗДАТЕЛЬСТВО НТИ ""СУДОСТРОЕНИЕ""",7840061259,Г.САНКТ-ПЕТЕРБУРГ,58.11,Издание книг
42,"ПАО ""ГРУППА ЛСР""",7838360491,Г.САНКТ-ПЕТЕРБУРГ,64.20,Деятельность холдинговых компаний
43,"АО ""ТРК ""НОВЫЙ ВЕК""",1653021456,РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),60.20,Деятельность в области телевизионного вещания
44,"АО ""ТНХИ-Х""",1653010285,Республика Татарстан (Татарстан),64.20,Деятельность холдинговых компаний
45,"АО ""СОВ - НКНХ""",1651052730,Республика Татарстан (Татарстан),36.00.1,Забор и очистка воды для питьевых и промышленных нужд
46,"ООО ""ГАЗПРОМ ГНП ПРОДАЖИ""",1515919573,Г.Санкт-Петербург,46.71.2,"Торговля оптовая моторным топливом, включая авиационный бензин"
47,"ЗПИФ недвижимости ""Квадратный метр""",5029144685,Республика Башкортостан,66.30,Деятельность по управлению фондами
48,"АО ""ММЗ""",5029126076,Московская область,30.40,Производство военных боевых машин
49,"ООО ""ИНВЕСТ-ОЙЛ""",5029065916,МОСКВА ГОРОД,64.99.1,Вложения в ценные бумаги
50,"ООО ""КОМПАНИЯ ПОЛЯРНОЕ СИЯНИЕ""",8300120014,МОСКОВСКАЯ ОБЛАСТЬ,06.10.1,Добыча сырой нефти
51,"ООО ""ЕДИНЫЙ МИГРАЦИОННЫЙ ЦЕНТР""",7842421041,Г.САНКТ-ПЕТЕРБУРГ,78.30,Деятельность по подбору персонала прочая
52,"ООО ""ЕДИНЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",7842416531,Г.Санкт-Петербург,86.21,Общая врачебная практика
53,"ООО ""СКФ АРКТИКА""",7841443821,Г.САНКТ-ПЕТЕРБУРГ,70.10.2,Деятельность по управлению холдинг-компаниями
54,"ООО ""ХОЛДИНГ МСС""",7841086979,Г.Санкт-Петербург,64.20,Деятельность холдинговых компаний
55,"ООО ""СБФ""",7801730315,Г.САНКТ-ПЕТЕРБУРГ,72.19,Научные исследования и разработки в области естественных и технических наук прочие
56,УНИВЕРСИТЕТ ИТМО; НИУ ИТМО; ИТМО,7813045547,Г.САНКТ-ПЕТЕРБУРГ,85.22,Образование высшее
57,"ООО ""УК ""ЧЕРНОГОЛОВКА""",5031126323,МОСКОВСКАЯ ОБЛАСТЬ,82.11,Деятельность административно-хозяйственная комплексная по обеспечению работы организации
58,"ООО ""ГАЗПРОМ УПРАВЛЕНИЕ АКТИВАМИ КСН""",7813655951,Г.Санкт-Петербург,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
59,"ООО ""ОНИКС""",7728522943,МОСКВА ГОРОД,64.99.3,"Капиталовложения в уставные капиталы, венчурное инвестирование, в том числе посредством инвестиционных компаний"
