,Объект_1,ИНН_1,Связь,Объект_2,ИНН_2
0,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ВАГРАН""",7707113058
1,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ТЕХСЕРВИС""",2338012377
2,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ТАУРОВСКИЙ УЧАСТОК""",7719473305
3,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""АГРОКОМПЛЕКС ""КАМЫШЕВАТСКИЙ""",2361010508
4,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЕДИНЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",7842416531
5,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ТИМАНСКИЙ-1""",7714415081
6,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЮГАНСКИЙ 22""",9718075986
7,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""МИЛЛЕНИАЛ""",7725823822
8,РОСИМУЩЕСТВО,7710723134,Высокая,ФГУП ИГИ,7725008497
9,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""КАЗИНО ФЛАМИНГО""",3664013475
10,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЕРБОГАЧЕНСКИЙ""",9718075601
11,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЛАБИНСКИЙ ЭЛЕВАТОР""",2314025200
12,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ПАКО""",7818002353
13,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""МЕДВЕДЬ-1""",6168047095
14,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ТД ""ВЭЛАН""",6164221031
15,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЮГАНСКИЙ 19""",7719434553
16,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""АЛЬФА""",2338009705
17,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""СЕВЕРО-МОИМСКОЕ""",7719430968
18,РОСИМУЩЕСТВО,7710723134,Высокая,"ФГУП ""ЗАВОД СИНТЕТИЧЕСКИХ ВОЛОКОН ""ЭЛАСТИК""",6225000890
19,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО УНПЦ ""ЭКОЛОГИЯ""",1513054740
20,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЛОНГФОРД ИНВЕСТМЕНТС""",7702504869
21,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""РАДАМАНТ""",7728864400
22,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ПУГАЧЁВСКИЙ""",9729134841
23,РОСИМУЩЕСТВО,7710723134,Высокая,"ФГУП ГПИ И НИИ ГА ""АЭРОПРОЕКТ""",7712037050
24,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""АГРОКОМПЛЕКС ""ЕЙСКИЙ""",2361011438
25,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""АЙКАЕГАНСКОЕ""",7707355353
26,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЮКАТЕКС-ЮГРА""",8606014729
27,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""БИНШТОКОВСКИЙ""",7722350751
28,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЭДЕЛЬВЕЙС""",7710571080
29,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЮКАТЕКС ОЙЛ""",1106025991
30,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЗАПАДНО-МУЛТАНОВСКИЙ""",7716812415
31,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЮГАНСКИЙ 21""",9701027127
32,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""РЕГИОН-СЕРВИС""",7813125859
33,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""АФ ""МОСТОВСКАЯ""",2342019375
34,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЮГ ДЕВЕЛОПМЕНТ""",7726583210
35,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ВОСТОЧНО-ТАЛОВЫЙ""",9701086370
36,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО АФ ""ОТРАДНЕНСКАЯ""",2372000830
37,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""АГРОФИРМА ""БУРАКОВСКАЯ""",2335000084
38,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""НЕБУГ""",6163074296
39,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ТАУРОВСКОЕ""",9729156958
40,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""КМ-ОЙЛ""",7723686779
41,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""КОМПАНЬОН""",2357007100
42,РОСИМУЩЕСТВО,7710723134,Высокая,"ФГУП ""НИИПА""",5010007607
43,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""МОЛОДЁЖНОЕ""",7718285154
44,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ТД ""КАНЕВСКИЕ КОЛБАСЫ""",2334022416
45,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""ЮГАНСКИЙ 16""",7718289568
46,РОСИМУЩЕСТВО,7710723134,Высокая,"АО ""ЗАРУБЕЖНЕФТЬ""",7701350084
47,РОСИМУЩЕСТВО,7710723134,Высокая,"ООО ""МАЛОАТЛЫМСКОЕ""",9715228923
